SiteID,lat,lon,datum
471451001,35.9168,-84.50352,WGS84
471453006,35.9181,-84.51115,WGS84
370650004,35.93355,-77.75007,WGS84
471450004,35.9387737213404,-84.5435415167548,WGS84
470930028,35.9446,-84.03598,WGS84
470931017,35.97807,-83.95067,WGS84
470931013,35.98042,-83.93281,WGS84
370630001,35.99194,-78.89639,WGS84
470931020,36.01919,-83.87381,WGS84
370630015,36.0199341037736,-78.9025555306604,WGS84
370670030,36.026,-80.342,WGS84
370810014,36.06866,-80.00705,WGS84
370010002,36.089,-79.40782,WGS84
401430110,36.14004,-95.92538,WGS84
051430005,36.1797,-94.11683,WGS84
401431127,36.2049,-95.97654,WGS84
400979014,36.22841,-95.24994,WGS84
370330001,36.30703,-79.46742,WGS84
471251011,36.53781,-87.32778,WGS84
400710602,36.70533,-97.08766,WGS84
350450019,36.77416,-108.16503,WGS84
517100024,36.8566510275689,-76.3015079949875,WGS84
060392010,36.95326,-120.0342,WGS84
400719010,36.95622,-97.03135,WGS84
517000013,37.0998,-76.48105,WGS84
080677003,37.10258,-107.87022,WGS84
516500008,37.10373,-76.38702,WGS84
080677001,37.13678,-107.62863,WGS84
290770032,37.2029724877451,-93.2840142401961,WGS84
080070001,37.26842,-107.00966,WGS84
511611004,37.28342,-79.88452,WGS84
517700015,37.2971749426868,-79.9556509170105,WGS84
517750011,37.29788,-80.08102,WGS84
516800015,37.3467597857755,-79.2015062296487,WGS84
080830006,37.3500457474227,-108.59187242268,WGS84
510410003,37.4353887692308,-77.4510052991453,WGS84
510870014,37.5574211379801,-77.4002749786629,WGS84
060010009,37.74306,-122.16994,WGS84
540810002,37.80777,-81.19743,WGS84
081130004,37.93787,-107.81306,WGS84
181630016,37.97444,-87.5322759019264,WGS84
181630020,37.97525,-87.56783,WGS84
181630021,38.01325,-87.57786,WGS84
211110051,38.06091,-85.898029928264,WGS84
510030001,38.0765229950495,-78.5039491089109,WGS84
170650002,38.08216,-88.62494,WGS84
171570001,38.17628,-89.78846,WGS84
211110044,38.19113,-85.7793616545265,WGS84
211110067,38.22876,-85.65452,WGS84
211110043,38.2331971078431,-85.8156647385621,WGS84
211110048,38.2404006837607,-85.7318094017094,WGS84
081010012,38.26306,-104.61213,WGS84
081010015,38.2761,-104.59761,WGS84
180510012,38.32293,-87.31879,WGS84
540390010,38.3456,-81.62832,WGS84
540391005,38.36618,-81.69372,WGS84
180370004,38.36944,-86.95903,WGS84
180190008,38.39383,-85.66417,WGS84
180370005,38.40478,-86.92832,WGS84
540110006,38.42413,-82.4259,WGS84
290990019,38.44863,-90.39854,WGS84
540390011,38.44883,-81.68472,WGS84
291890015,38.45676,-90.32748,WGS84
390870012,38.50811,-82.6593,WGS84
171634001,38.52963,-89.99285,WGS84
171630010,38.61203,-90.16048,WGS84
171639010,38.61203,-90.16048,WGS84
060670006,38.6139606734694,-121.367514306122,WGS84
295100093,38.65376,-90.18691,WGS84
171190023,38.69956,-90.14353,WGS84
171190024,38.70063,-90.14476,WGS84
171191007,38.70453,-90.13967,WGS84
080290004,38.73921,-108.07312,WGS84
515100009,38.8104,-77.04435,WGS84
080410011,38.82804,-104.82774,WGS84
510591005,38.8375075,-77.1632433928571,WGS84
080410017,38.84801,-104.82856,WGS84
171193007,38.86067,-90.10585,WGS84
080510005,38.87805,-106.9747,WGS84
080410008,38.89598,-104.7613,WGS84
080510007,38.90039,-106.9661,WGS84
171192009,38.90308,-90.14317,WGS84
110010043,38.9206712765957,-77.0129092121909,WGS84
180550001,38.98558,-86.99012,WGS84
210373002,39.021837983871,-84.47445,WGS84
080770017,39.0638,-108.56117,WGS84
170831001,39.11054,-90.32408,WGS84
181050003,39.15938,-86.50476,WGS84
080390001,39.23138,-104.63477,WGS84
540330003,39.27812,-80.34225,WGS84
510690010,39.2815484160757,-78.0815159574468,WGS84
541071002,39.32353,-81.55237,WGS84
340011006,39.3631933521127,-74.4306203943662,WGS84
340010006,39.46487,-74.44874,WGS84
390170020,39.47244,-84.39495,WGS84
390170019,39.47885,-84.40767,WGS84
540490006,39.48148,-80.13467,WGS84
320310016,39.52508,-119.80772,WGS84
080350004,39.53449,-105.07036,WGS84
080050005,39.6044,-105.01953,WGS84
540610003,39.64937,-79.92087,WGS84
080310025,39.70401,-104.99811,WGS84
080310002,39.75118,-104.98762,WGS84
180970084,39.75885,-86.11541,WGS84
180970083,39.7749679863481,-86.1220290102389,WGS84
080310023,39.78108,-104.95665,WGS84
180970081,39.7889,-86.21463,WGS84
180970078,39.8111,-86.11447,WGS84
080010006,39.82601,-104.93744,WGS84
340150004,39.83081,-75.28472,WGS84
340155001,39.83081,-75.28472,WGS84
171670012,39.83192,-89.64416,WGS84
420290100,39.83446,-75.76824,WGS84
420450002,39.83556,-75.3725,WGS84
171150013,39.86683,-88.92559,WGS84
170010007,39.91541,-91.33587,WGS84
540511002,39.91596,-80.73386,WGS84
420010001,39.92002,-77.30968,WGS84
340070003,39.92304,-75.09762,WGS84
170010006,39.93301,-91.40424,WGS84
